Title,Year,certificate,Time,genre,Rating,Score,Description,Director,Actor1,Actor2,Actor3,Actor4,Votes,Gross
Mad Max: Fury Road,(2015),15,120 min,"
Action, Adventure, Sci-Fi            ",8.1,"
90        
        Metascore
            ","
    In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",George Miller,Tom Hardy,Charlize Theron,Nicholas Hoult,Zoë Kravitz,"872,834",$154.06M
Gone Girl,(2014),18,149 min,"
Drama, Mystery, Thriller            ",8.1,"
79        
        Metascore
            ","
    With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",David Fincher,Ben Affleck,Rosamund Pike,Neil Patrick Harris,Tyler Perry,"850,464",$167.77M
Die Hard,(1988),18,132 min,"
Action, Thriller            ",8.2,"
72        
        Metascore
            ","
    An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.",John McTiernan,Bruce Willis,Alan Rickman,Bonnie Bedelia,Reginald VelJohnson,"780,033",$83.01M
Black Swan,(2010),15,108 min,"
Drama, Thriller            ",8.0,"
79        
        Metascore
            ","
    A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".",Darren Aronofsky,Natalie Portman,Mila Kunis,Vincent Cassel,Winona Ryder,"694,649",$106.95M
X-Men: Days of Future Past,(2014),12A,132 min,"
Action, Adventure, Sci-Fi            ",7.9,"
75        
        Metascore
            ","
    The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.",Bryan Singer,Patrick Stewart,Ian McKellen,Hugh Jackman,James McAvoy,"656,457",$233.92M
Aliens,(1986),16,137 min,"
Action, Adventure, Sci-Fi            ",8.3,"
84        
        Metascore
            ","
    Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",James Cameron,Sigourney Weaver,Michael Biehn,Carrie Henn,Paul Reiser,"648,411",$85.16M
Logan,(2017),15,137 min,"
Action, Drama, Sci-Fi            ",8.1,"
77        
        Metascore
            ","
    In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",James Mangold,Hugh Jackman,Patrick Stewart,Dafne Keen,Boyd Holbrook,"640,707",$226.28M
Kingsman: The Secret Service,(2014),15,129 min,"
Action, Adventure, Comedy            ",7.7,"
60        
        Metascore
            ","
    A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius.",Matthew Vaughn,Colin Firth,Taron Egerton,Samuel L. Jackson,Michael Caine,"586,464",$128.26M
Argo,(2012),15,120 min,"
Biography, Drama, Thriller            ",7.7,"
86        
        Metascore
            ","
    Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979.",Ben Affleck,Ben Affleck,Bryan Cranston,John Goodman,Alan Arkin,"569,044",$136.03M
Taken,(I) (2008),18,90 min,"
Action, Thriller            ",7.8,"
51        
        Metascore
            ","
    A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.",Pierre Morel,Liam Neeson,Maggie Grace,Famke Janssen,Leland Orser,"562,416",$145.00M
X-Men 2,(2003),12A,134 min,"
Action, Adventure, Sci-Fi            ",7.4,"
68        
        Metascore
            ","
    When anti-mutant Colonel William Stryker kidnaps Professor X and attacks his school, the X-Men must ally with their archenemy Magneto to stop him.",Bryan Singer,Patrick Stewart,Hugh Jackman,Halle Berry,Ian McKellen,"509,029",$214.95M
