"actions","ID","Author","Title","Book Title","Journal","Year","Type","Affiliation","DOI","Journal ISO","Unique-ID","DA-Initial","DA-Updated","originAuthor","editor","originEditor","series","publisher","volume","number","articleNumber","pages","type_value","timesCited","isbn","address","highlight","etxenike","research_lines"
"Eliminar   Modificar","CCC:000174070100009","J. Colmenero, and A. Alegria","Methyl group dynamics in glassy polymers by neutron scattering: from classical to quantum motions","Advanced Functional Molecules and Polymer, Vol 2","","2001","Book Chapter","Univ Basque Country, Fac Quim, Dept Fis Mat, E-20080 San Sebastian, Spain","","","CCC:000174070100009","2020-04-08","2020-04-08","Colmenero, J; Alegria, A","H. S. Nalwa","Nalwa, HS","","Gordon and breach science publ","","","","271-294","Book Chapter","4","","Amsterdam, Netherlands","false","false","kw2a7woa9r"
"Eliminar   Modificar","ISI:000084631800117","A. Bergara, J. M. Pitarke, and R. H. Ritchie","Hydrodynamic approximation for the nonlinear response of a metal surface","","PHYSICAL REVIEW B","1999","Article","Bergara, A (Reprint Author), Euskal Herriko Unibertsitatea, Zientzi Fak, Mat Kondentsatuaren Fis Saila, 644 Posta Kutxatila, Bilbao 48080, Basque Country, Spain.
 Euskal Herriko Unibertsitatea, Zientzi Fak, Mat Kondentsatuaren Fis Saila, Bilbao 48080, Basque Country, Spain.
 UPV, EHU, CSIC, Donostia Int Phys Ctr, Donostia San Sebastian, Basque Country, Spain.
 UPV, EHU, CSIC, Ctr Mixto, Donostia San Sebastian, Basque Country, Spain.
 Oak Ridge Natl Lab, Oak Ridge, TN 37831 USA.","10.1103/PhysRevB.60.16176","Phys. Rev. B","ISI:000084631800117","2020-03-10","2020-03-10","Bergara, A and Pitarke, JM and Ritchie, RH","","","","AMER PHYSICAL SOC","60","23","","16176-16185","Article","6","","ONE PHYSICS ELLIPSE, COLLEGE PK, MD 20740-3844 USA","false","false",""
"Eliminar   Modificar","ISI:000083765400003","I. Nagy, B. Apagyi, J. I. Juaristi, and P. M. Echenique","Consistent model for the screening of slow muons in metals","","PHYSICAL REVIEW B","1999","Article","Nagy, I (Reprint Author), Tech Univ Budapest, Dept Theoret Phys, Inst Phys, H-1521 Budapest, Hungary. Tech Univ Budapest, Dept Theoret Phys, Inst Phys, H-1521 Budapest, Hungary. Donostia Int Phys Ctr, San Sebastian 20080, Spain. UPV, CSIC, Ctr Mixto, EHU, San Sebastian 20080, Spain. Univ Basque Country, Fac Ciencias Quim, Dept Fis Mat, E-48080 Bilbao, Spain.","10.1103/PhysRevB.60.R12546","Phys. Rev. B","ISI:000083765400003","2020-03-10","2020-03-10","Nagy, I and Apagyi, B and Juaristi, JI and Echenique, PM","","","","AMER PHYSICAL SOC","60","18","","R12546-R12548","Article","2","","ONE PHYSICS ELLIPSE, COLLEGE PK, MD 20740-3844 USA","false","true",""
"Eliminar   Modificar","ISI:000083554800085","I. Sarria, J. Osma, E. V. Chulkov, J. M. Pitarke, and P. M. Echenique","Self-energy of image states on copper surfaces","","PHYSICAL REVIEW B","1999","Article","Sarria, I (Reprint Author), Euskal Herriko Unibertsitatea, Mat Kondentsatuaren Fis Saila, Zientzi Fak, 644 Posta Kutxatila, Bilbao 48080, Spain. Euskal Herriko Unibertsitatea, Mat Kondentsatuaren Fis Saila, Zientzi Fak, Bilbao 48080, Spain. Euskal Herriko Inibertsitatea, Mat Fis Saila, Kim Fak, Donostia San Sebastian 20080, Spain. CSIC, UPV EHV, Ctr Mixto, Donostia San Sebastian, Spain. Donostia Int Phys Ctr, Donostia San Sebastian, Spain. Euskal Herriko Unibertsitatea, Mat Kondentsatuaren Fis Saila, Zientzi Fak, Bilbao 48080, Spain.","10.1103/PhysRevB.60.11795","Phys. Rev. B","ISI:000083554800085","2020-03-10","2020-03-10","Sarria, I and Osma, J and Chulkov, EV and Pitarke, JM and Echenique, PM","","","","AMER PHYSICAL SOC","60","16","","11795-11803","Article","66","","ONE PHYSICS ELLIPSE, COLLEGE PK, MD 20740-3844 USA","false","true",""
"Eliminar   Modificar","ISI:000082478600126","F. J. G. de Abajo","Multiple scattering of radiation in clusters of dielectrics","","PHYSICAL REVIEW B","1999","Article","de Abajo, FJG (Reprint Author), Univ Calif Berkeley, Lawrence Berkeley Lab, Div Mat Sci, Berkeley, CA 94720 USA. Univ Calif Berkeley, Lawrence Berkeley Lab, Div Mat Sci, Berkeley, CA 94720 USA. Fac Informat, Dept CCIA, Donostia Int Phys Ctr, San Sebastian, Spain. UPV, EHU, CSIC, Ctr Mixto, San Sebastian, Spain.","10.1103/PhysRevB.60.6086","Phys. Rev. B","ISI:000082478600126","2020-03-10","2020-03-10","de Abajo, FJG","","","","AMER PHYSICAL SOC","60","8","","6086-6102","Article","105","","ONE PHYSICS ELLIPSE, COLLEGE PK, MD 20740-3844 USA","false","false",""
"Eliminar   Modificar","ISI:000082478600127","F. J. G. de Abajo","Relativistic description of valence energy losses in the interaction of fast electrons with clusters of dielectrics: Multiple-scattering approach","","PHYSICAL REVIEW B","1999","Article","de Abajo, FJG (Reprint Author), Univ Calif Berkeley, Lawrence Berkeley Lab, Div Mat Sci, Berkeley, CA 94720 USA. Univ Calif Berkeley, Lawrence Berkeley Lab, Div Mat Sci, Berkeley, CA 94720 USA. Fac Informat, Dept CCIA, Donostia Int Phys Ctr, San Sebastian, Spain. UPV, EHU, CSIC, Ctr Mixto, San Sebastian, Spain.","10.1103/PhysRevB.60.6103","Phys. Rev. B","ISI:000082478600127","2020-03-10","2020-03-10","de Abajo, FJG","","","","AMER PHYSICAL SOC","60","8","","6103-6112","Article","9","","ONE PHYSICS ELLIPSE, COLLEGE PK, MD 20740-3844 USA","false","false",""
"Eliminar   Modificar","ISI:000082538600013","J. I. Juaristi, A. Arnau, P. M. Echenique, C. Auth, and H. Winter","Charge state dependence of the energy loss of slow nitrogen ions reflected from an aluminum surface under grazing incidence","","NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION B-BEAM INTERACTIONS WITH MATERIALS AND ATOMS","1999","Article; Proceedings Paper","Juaristi, JI (Reprint Author), Univ Basque Country, Fac Quim, Dept Fis Mat, EHU, Aptdo 1072, E-20080 San Sebastian, Spain. Univ Basque Country, Fac Quim, Dept Fis Mat, EHU, E-20080 San Sebastian, Spain. UPV, EHU, Donostia Int Phys Ctr, San Sebastian, Spain. UPV, EHU, CSIC, Ctr Mixto, San Sebastian, Spain. Humboldt Univ, Inst Phys, Berlin, Germany.","10.1016/S0168-583X(99)00440-1","Nucl. Instrum. Methods Phys. Res. Sect. B-Beam Interact. Mater. Atoms","ISI:000082538600013","2020-03-10","2020-03-10","Juaristi, JI and Arnau, A and Echenique, PM and Auth, C and Winter, H","","","","ELSEVIER SCIENCE BV","157","1-4","","87-91","Article; Proceedings Paper","18","","PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS","false","true",""
"Eliminar   Modificar","ISI:000082538600038","J. I. Juaristi, and M. Rosler","Atomic number dependence of the forward/backward kinetic electron emission induced by slow ions in carbon foils","","NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION B-BEAM INTERACTIONS WITH MATERIALS AND ATOMS","1999","Article; Proceedings Paper","Juaristi, JI (Reprint Author), Univ Basque Country, Fac Quim, Dept Fis Mat, Apdo 1072, Donostia San Sebastian 20080, Spain. Univ Basque Country, Fac Quim, Dept Fis Mat, Donostia San Sebastian 20080, Spain. Hahn Meitner Inst Berlin GmbH, D-14109 Berlin, Germany. Donostia Int Phys Ctr, Donostia San Sebastian, Spain. Ctr Mixto CSIC UPV EHU, Donostia San Sebastian, Spain.","10.1016/S0168-583X(99)00441-3","Nucl. Instrum. Methods Phys. Res. Sect. B-Beam Interact. Mater. Atoms","ISI:000082538600038","2020-03-10","2020-03-10","Juaristi, JI and Rosler, M","","","","ELSEVIER SCIENCE BV","157","1-4","","254-258","Article; Proceedings Paper","4","","PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS","false","false",""
"Eliminar   Modificar","ISI:000081834400033","E. Zarate, P. Apell, and P. M. Echenique","Calculation of low-energy-electron lifetimes","","PHYSICAL REVIEW B","1999","Article","Zarate, E (Reprint Author), Chalmers, Dept Appl Phys, S-41296 Gothenburg, Sweden. Chalmers, Dept Appl Phys, S-41296 Gothenburg, Sweden. Univ Gothenburg, S-41296 Gothenburg, Sweden. Univ Basque Country, Fac Quim, Dept Fis Mat, E-20080 San Sebastian, Spain. UPV, EHU, CSIC, Donostia Int Phys Ctr, San Sebastian, Spain. UPV, EHU, CSIC, Ctr Mixto, San Sebastian, Spain.","10.1103/PhysRevB.60.2326","Phys. Rev. B","ISI:000081834400033","2020-03-10","2020-03-10","Zarate, E and Apell, P and Echenique, PM","","","","AMER PHYSICAL SOC","60","4","","2326-2332","Article","54","","ONE PHYSICS ELLIPSE, COLLEGE PK, MD 20740-3844 USA","false","true",""
"Eliminar   Modificar","ISI:000081024200016","A. Bergara, J. M. Pitarke, and R. H. Ritchie","Plasmon excitation by charged particles interacting with metal surfaces","","PHYSICS LETTERS A","1999","Article","Bergara, A (Reprint Author), Euskal Herriko Unibertsitea, Zientzi Fak, Mat Kondentsatuaren Fis Saila, 644 Posta Kutzatila, Bilbao 48080, Basque Country, Spain. Euskal Herriko Unibertsitea, Zientzi Fak, Mat Kondentsatuaren Fis Saila, Bilbao 48080, Basque Country, Spain. Donostia Int Phys Ctr, E-20018 Donostia San Sebastian, Basque Country, Spain. CSIC, Ctr Mixto, UPV EHU, E-48080 Bilbao, Basque Country, Spain. Oak Ridge Natl Lab, Oak Ridge, TN 37831 USA.","10.1016/S0375-9601(99)00264-9","Phys. Lett. A","ISI:000081024200016","2020-03-10","2020-03-10","Bergara, A and Pitarke, JM and Ritchie, RH","","","","ELSEVIER SCIENCE BV","256","5-6","","405-410","Article","15","","PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS","false","false",""
